2025-01-03 03:19:53,142 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T03:19:53.142275", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 03:19:53,162 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T03:19:53.162477", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 03:19:53,517 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T03:19:53.517696", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 03:36:56,942 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T03:36:56.942940", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 03:36:56,980 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T03:36:56.980304", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 03:36:57,001 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T03:36:57.001067", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 03:36:57,373 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T03:36:57.373620", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 07:45:37,869 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T07:45:37.869510", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 07:45:37,908 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:45:37.908176", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 07:45:37,930 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:45:37.930534", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 07:45:38,308 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:45:38.308350", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
